"annotation","story","points"
"Theoretical Physics","Unveiling the first-ever image of a black hole [video] (www.youtube.com)",2150
"Academia","UC terminates subscriptions with Elsevier in push for open access (www.universityofcalifornia.edu)",1706
"BizDev","Start with a Website, Not a Mobile App (www.atrium.co)",1536
"Journo, Media & Ads","No Thank You, Mr. Pecker (medium.com)",2400
"Journo, Media & Ads","Bezos Investigation Says the Saudis Obtained His Private Data (www.thedailybeast.com)",602
"Containers, Orch & Cloud","Please do not attempt to simplify this code (github.com)",1483
"Malicious Company Behaviour","Google Tried to Patent My Work After a Job Interview (patentpandas.org)",1757
"Malicious Company Behaviour","“Apps intended for kids may not include third-party advertising or analytics” (developer.apple.com)",1171
"Noisy Topic R","I made a smart watch from scratch (m.imgur.com)",1431
"Wikileaks & Law","Julian Assange arrested in London (www.bbc.co.uk)",2354
"Wikileaks & Law","U.S. Supreme Court Puts Limits on Police Power to Seize Private Property (www.nytimes.com)",1411
"Wikileaks & Law","Justice Department Is Preparing Antitrust Investigation of Google (www.wsj.com)",867
"Web Browsers & Plugins","Switch from Chrome to Firefox (www.mozilla.org)",3246
"Web Browsers & Plugins","A Conspiracy to Kill IE6 (blog.chriszacharias.com)",2141
"Web Browsers & Plugins","Google to restrict modern ad blocking Chrome extensions to enterprise users (9to5google.com)",2057
"Self Improvement","Ask HN: What books changed the way you think about almost everything?",1905
"Self Improvement","A guide to difficult conversations (medium.dave-bailey.com)",1782
"Self Improvement","Why isn't the internet more fun and weird? (jarredsumner.com)",1495
